fold,file_id,speaker_id,state,sex,sentence_id,sentence_id_norm,tier,reference,hyp_greedy,hyp_sf,hyp_dra,hyp_general_sf,wer_greedy,wer_sf,wer_dra,wer_general_sf
1,S20_BA_F_016,S20,Bauchi,F,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gayamin cewa matsijini na yayi yawa fiye da yadda ya kamata,an gaya min cewa matsi jini na ya yi yawa fiye da yadda ya kamata,an gaya min cewa matsi jini na ya yi yawa fiye da yadda ya kamata,an gaya min cewa matsi jini na yayi yawa fiye da yadda ya kamata,42.857142857142854,28.57142857142857,28.57142857142857,35.714285714285715
1,S21_BA_F_016,S21,Bauchi,F,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gayamini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jinina yayi yawa fiye da yadda ya kamata,14.285714285714285,0.0,0.0,14.285714285714285
1,S23_GO_F_016,S23,Gombe,F,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsanin jini na yayi yawa fiye da yadda ya kamata,an gaya mini cewa matsanin jini na yayi yawa fiye da yadda ya kamata,an gaya mini cewa matsanin jini na yayi yawa fiye da yadda ya kamata,an gaya mini cewa matsanin jini na yayi yawa fiye da yadda ya kamata,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
1,S04_PL_M_017,S04,Plateau,M,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar daga kafi kafin in tafi in ni yi tafi kasar waje,ina bukatar allurar daga kafi kafin in tafi in na yi tafi kasar waje,ina bukatar allurar daga kafi kafin in tafi na yi tafi kasar waje,ina bukatar allurar daga kafi kafin in tafi in na yi tafi kasar waje,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
1,S06_GO_M_017,S06,Gombe,M,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukata allurar rigafiki kafin in tafiya ne na yi tafiya kasa waje,ina bukata allurar rigafiki kafin in tafiya ne na yi tafiya kasa waje,ina bukata allurar rigafiki kafin in tafiya ne na yi tafiya kasa waje,ina bukatar allurar rigafiki kafin in tafiya ne na yi tafiya kasa waje,58.333333333333336,58.333333333333336,58.333333333333336,50.0
1,S08_TA_M_017,S08,Taraba,M,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allorar riga kafi kafin in tafiye i na yi tafiya kusar waje,ina bukatar allurar rigakafi kafinintafiyeinayi tafiya kasar waje,ina bukatar allurar rigakafi kafinintafiyeinayi tafiya kasar waje,ina bukatar allurar rigakafi kafin in tafiye ina yi tafiya kasar waje,66.66666666666666,41.66666666666667,41.66666666666667,25.0
1,S10_YO_M_017,S10,Yobe,M,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar riga kafi kafin in tafi in na yi tafi a kasar waje,ina bukatar allurar rigakafi kafin in tafi in na yi tafi a kasar waje,ina bukatar allurar rigakafi kafin in tafi in na yi tafi a kasar waje,ina bukatar allurar rigakafi kafin in tafi in na yi tafiya kasar waje,50.0,33.33333333333333,33.33333333333333,16.666666666666664
1,S11_KD_M_017,S11,Kaduna,M,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar ga kafi kafin intafi kasar waje,ina bukatar allurar ga kafi kafin in tafi kasar waje,ina bukatar allurar ga kafi kafin in tafi kasar waje,ina bukatar allurar ga kafi kafin in tafi kasar waje,58.333333333333336,41.66666666666667,41.66666666666667,41.66666666666667
1,S13_GO_F_017,S13,Gombe,F,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar daga kafi kafin intafi in na yi tafiya kasar waje,ina bukatar allurar dagakafi kafin in tafi in na yi tafiya kasar waje,ina bukatar allurar dagakafi kafin in tafi in na yi tafiya kasar waje,ina bukatar allurar daga kafi kafin in tafi in na yi tafiya kasar waje,50.0,25.0,25.0,33.33333333333333
1,S18_GO_F_017,S18,Gombe,F,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar rigakafi kafin in iya tafiyan kasan waje,ina bukatar allurar rigakafi kafin in iya tafiya kasar waje,ina bukatar allurar rigakafi kafin in iya tafiya kasar waje,ina bukatar allurar rigakafi kafin in iya tafiya kasan waje,41.66666666666667,25.0,25.0,33.33333333333333
1,S20_BA_F_017,S20,Bauchi,F,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar alluran riga kafi kafin na ye tafiya a kasar waje,ina bukatar alluran riga kafin kafin na tafiya a kasar waje,ina bukatar alluran riga kafin kafin na tafiya a kasar waje,ina bukatar allurar riga kafin kafin na tafiya a kasar waje,66.66666666666666,58.333333333333336,58.333333333333336,50.0
1,S21_BA_F_017,S21,Bauchi,F,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar rigakafi kafintafi'in na yi tafiya kasar waje,ina bukatar allurar rigakafi kafin tafin na yi tafiya kasar waje,ina bukatar allurar rigakafi kafintafi'innayi tafiya kasar waje,ina bukatar allurar rigakafi kafin tafin na yi tafiya kasar waje,41.66666666666667,33.33333333333333,41.66666666666667,33.33333333333333
1,S23_GO_F_017,S23,Gombe,F,17,017,2,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,ina bukatar allurar kafin in tafiyan kasar waje,ina bukatar allurar kafin in tafiya kasar waje,ina bukatar allurar kafin in tafiya kasar waje,ina bukatar allurar kafin in tafiya kasar waje,41.66666666666667,33.33333333333333,33.33333333333333,33.33333333333333
1,S04_PL_M_020,S04,Plateau,M,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokanka kawanki hannayenka kafin ka taba yaro,muna rokanka kawanki hannayen ka kafin ka taba yaro,muna rokanka kawanki hannayen ka kafin ka taba yaro,muna rokanka kawanki hannayenka kafin ka taba yaro,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556
1,S06_GO_M_020,S06,Gombe,M,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,muna rokon ka ka wanke hannu wanka kafin ka taba yaro,muna rokon ka ka wanke hannu wanka kafin ka taba yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,22.22222222222222,55.55555555555556,55.55555555555556,22.22222222222222
1,S08_TA_M_020,S08,Taraba,M,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokonka kawanki hannuwanka kafin ka taba yaro,muna rokon ka ka wanke hannuwan ka kafin ka taɓa yaro,muna rokon ka ka wanke hannuwan ka kafin ka taɓa yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,44.44444444444444,44.44444444444444,44.44444444444444,22.22222222222222
1,S10_YO_M_020,S10,Yobe,M,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokonka kawanke hannuwan ka kafin ka taba yaro,muna rokon ka ka wanke hannuwan ka kafin ka taɓa yaro,muna rokon ka ka wanke hannuwan ka kafin ka taɓa yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,55.55555555555556,44.44444444444444,44.44444444444444,22.22222222222222
1,S11_KD_M_020,S11,Kaduna,M,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,mu na rokonka ka wanke hannuwanka kafin ka taba yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,44.44444444444444,22.22222222222222,22.22222222222222,22.22222222222222
1,S13_GO_F_020,S13,Gombe,F,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,una rokonka kawanke hannuwanka kafin ka taba yaro,na rokonka ka wanke hannuwanka kafin ka taba yaro,na rokonka ka wanke hannuwanka kafin ka taba yaro,na rokonka ka wanke hannuwanka kafin ka taba yaro,55.55555555555556,33.33333333333333,33.33333333333333,33.33333333333333
1,S18_GO_F_020,S18,Gombe,F,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokonka gawanke hannuwanka kafin ka taba yaro,muna rokon ka ga wanke hannuwan ka kafin ka taba yaro,muna rokon ka ga wanke hannuwan ka kafin ka taba yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,44.44444444444444,55.55555555555556,55.55555555555556,22.22222222222222
1,S20_BA_F_020,S20,Bauchi,F,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna robanka kawanke hannuwanka kafin ka taba yaro,muna robanka ka wanke hannuwan a kafin ka taba yaro,muna robanka ka wanke hannuwan a kafin ka taba yaro,muna rokanka ka wanke hannuwanka kafin ka taba yaro,44.44444444444444,44.44444444444444,44.44444444444444,22.22222222222222
1,S21_BA_F_020,S21,Bauchi,F,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna rokonka ga wanke hannuwanka kafin ka taba yaro,muna rokonka ka wanke hannuwan ka kafin ka taba yaro,muna rokonka ka wanke hannuwan ka kafin ka taɓa yaro,muna rokonka ka wanke hannuwanka kafin ka taba yaro,33.33333333333333,44.44444444444444,33.33333333333333,22.22222222222222
1,S23_GO_F_020,S23,Gombe,F,20,020,2,muna roƙonka ka wanke hannuwanka kafin ka taɓa yaro,muna ragonka ko wanke hannunka kafin kataba yaron,muna ragonka ko wanke hannunka kafin ka taba yaron,muna ragonka ko wanke hannunka kafin ka taba yaron,muna rokanka ka wanke hannuka kafin ka taba yaron,66.66666666666666,55.55555555555556,55.55555555555556,44.44444444444444
1,S04_PL_M_021,S04,Plateau,M,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,21.052631578947366,21.052631578947366,21.052631578947366,21.052631578947366
1,S06_GO_M_021,S06,Gombe,M,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajen-jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana bukata magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana bukata magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana bukata magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana bukata magani na musamman,15.789473684210526,5.263157894736842,5.263157894736842,5.263157894736842
1,S08_TA_M_021,S08,Taraba,M,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gojin jini an gano cewa matakan sugari a jinin ka sun fi iyaka kuma ana bukatar magani na musamman,bayan gojinjini an gano cewa matakan sugari a jinin ka sun fi iyaka kuma ana bukatar magani na musamman,bayan gojinjini an gano cewa matakan sugari a jininka sun fi iyaka kuma ana bukatar magani na musamman,bayan gogin jini an gano cewa matakan sugari a jinin ka sun fi iyaka kuma ana bukatar magani na musamman,26.31578947368421,31.57894736842105,26.31578947368421,26.31578947368421
1,S10_YO_M_021,S10,Yobe,M,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,15.789473684210526,15.789473684210526,15.789473684210526,15.789473684210526
1,S11_KD_M_021,S11,Kaduna,M,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar maganin na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar maganin na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar maganin na musamman,bayan gwajin jini an gano cewa matakan saukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,26.31578947368421,26.31578947368421,26.31578947368421,21.052631578947366
1,S13_GO_F_021,S13,Gombe,F,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakkan sukari a jiki na sun shi'iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun shi'iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun shi'iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun shi'iyaka kuma ana bukatar magani na musamman,31.57894736842105,26.31578947368421,26.31578947368421,26.31578947368421
1,S18_GO_F_021,S18,Gombe,F,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,15.789473684210526,15.789473684210526,15.789473684210526,15.789473684210526
1,S20_BA_F_021,S20,Bauchi,F,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,15.789473684210526,15.789473684210526,15.789473684210526,15.789473684210526
1,S21_BA_F_021,S21,Bauchi,F,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakin sukari a jiki na sun fi iyaka kuma ana bukatar magari na musamman,bayan gwajin jini an gano cewa matakin sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakin sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakin sukari a jiki na sun fi iyaka kuma ana bukatar magani na musamman,26.31578947368421,21.052631578947366,21.052631578947366,21.052631578947366
1,S23_GO_F_021,S23,Gombe,F,21,021,3,bayan gwajin jini an gano cewa matakan sukari a jikina sun fi iyaka kuma ana buƙatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fiyiya haka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iya haka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iya haka kuma ana bukatar magani na musamman,bayan gwajin jini an gano cewa matakan sukari a jiki na sun fi iya haka kuma ana bukatar magani na musamman,26.31578947368421,26.31578947368421,26.31578947368421,26.31578947368421
2,S04_PL_M_007,S04,Plateau,M,7,007,1,hannuwana na karkarwa,hannuwa  na karkarawa,hannuwa na karkarawa,hannuwa na karkarawa,hannuwa na kar karawa,66.66666666666666,66.66666666666666,66.66666666666666,100.0
2,S06_GO_M_007,S06,Gombe,M,7,007,1,hannuwana na karkarwa,hanuwana ya karkawa,hanuwana ya karkawa,hanuwana ya karkawa,hannuwana ya karkawa,100.0,100.0,100.0,66.66666666666666
2,S08_TA_M_007,S08,Taraba,M,7,007,1,hannuwana na karkarwa,hannu wanna na karkarwa,hannu wannan na karkarwa,hannu wannan na karkarwa,hannu wannan na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S10_YO_M_007,S10,Yobe,M,7,007,1,hannuwana na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S11_KD_M_007,S11,Kaduna,M,7,007,1,hannuwana na karkarwa,an nuwana na karkarwa,an nuwana na karkarwa,an nuwana na karkarwa,an nuwana na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S13_GO_F_007,S13,Gombe,F,7,007,1,hannuwana na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S18_GO_F_007,S18,Gombe,F,7,007,1,hannuwana na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S20_BA_F_007,S20,Bauchi,F,7,007,1,hannuwana na karkarwa,hannuwa na na a karkarwa,hannuwa na na a karkarwa,hannuwa na na a karkarwa,hannuwa na na a karkarwa,100.0,100.0,100.0,100.0
2,S21_BA_F_007,S21,Bauchi,F,7,007,1,hannuwana na karkarwa,hannuwa na na kakkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na kakkarwa,100.0,66.66666666666666,66.66666666666666,100.0
2,S23_GO_F_007,S23,Gombe,F,7,007,1,hannuwana na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,hannuwa na na karkarwa,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2,S04_PL_M_008,S04,Plateau,M,8,008,1,ina tai amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
2,S06_GO_M_008,S06,Gombe,M,8,008,1,ina tai amai sau da yawa yau,ina ta amai su da yawa yau,ina ta amai su da yawa yau,ina ta amai su da yawa yau,ina ta amai su da yawa yau,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
2,S08_TA_M_008,S08,Taraba,M,8,008,1,ina tai amai sau da yawa yau,ina ta 'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta 'amai sau da yawa yau,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
2,S10_YO_M_008,S10,Yobe,M,8,008,1,ina tai amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,ina ta'amai sau da yawa yau,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
2,S11_KD_M_008,S11,Kaduna,M,8,008,1,ina tai amai sau da yawa yau,ina ta amaiso da yawa yau,ina ta amaiso da yawa yau,ina ta amaiso da yawa yau,ina ta amaiso da yawa yau,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854
2,S13_GO_F_008,S13,Gombe,F,8,008,1,ina tai amai sau da yawa yau,ina tai amai sau da yawa yau,ina taiamai sau da yawa yau,ina taiamai sau da yawa yau,ina tai amai sau da yawa yau,0.0,28.57142857142857,28.57142857142857,0.0
2,S18_GO_F_008,S18,Gombe,F,8,008,1,ina tai amai sau da yawa yau,ina ta amai sau da yawa yau,ina ta amai sau da yawa yau,ina ta amai sau da yawa yau,ina ta amai sau da yawa yau,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
